,date_x,week_date,model_category,weekday_visits,date_y,weekend_visits,total_visits,base_rate,multiplier
116,2020-06-10,2020-06-08,office,1057,2020-06-14,581,3223.5,7583.0,0.42509560859818013
117,2020-06-10,2020-06-08,retail,14347,2020-06-14,11309,47176.5,104534.0,0.4513029253639964
118,2020-06-10,2020-06-08,social,11002,2020-06-14,10168,37673.0,111885.5,0.3367102975810092
119,2020-06-10,2020-06-08,supermarket,2589,2020-06-14,2541,9013.5,17606.0,0.5119561513120527
120,2020-06-17,2020-06-15,education,2875,2020-06-21,1624,8811.5,75050.5,0.1174076122077801
121,2020-06-17,2020-06-15,office,1010,2020-06-21,576,3101.0,7583.0,0.4089410523539496
122,2020-06-17,2020-06-15,retail,14444,2020-06-21,10707,46817.0,104534.0,0.44786385290910136
123,2020-06-17,2020-06-15,social,11185,2020-06-21,10078,38040.5,111885.5,0.3399949055060754
124,2020-06-17,2020-06-15,supermarket,2564,2020-06-21,2686,9096.0,17606.0,0.5166420538452801
125,2020-06-24,2020-06-22,education,3035,2020-06-28,1895,9482.5,75050.5,0.12634825883904838
126,2020-06-24,2020-06-22,office,1113,2020-06-28,556,3338.5,7583.0,0.44026111037847815
127,2020-06-24,2020-06-22,retail,15522,2020-06-28,11945,50750.0,104534.0,0.48548797520423975
128,2020-06-24,2020-06-22,social,11942,2020-06-28,10322,40177.0,111885.5,0.35909032001465785
129,2020-06-24,2020-06-22,supermarket,2645,2020-06-28,2670,9282.5,17606.0,0.527235033511303
130,2020-07-01,2020-06-29,education,2807,2020-07-05,1574,8591.5,75050.5,0.1144762526565446
131,2020-07-01,2020-06-29,office,1227,2020-07-05,588,3655.5,7583.0,0.48206514572069104
132,2020-07-01,2020-06-29,retail,14111,2020-07-05,10062,45339.5,104534.0,0.4337296956014311
133,2020-07-01,2020-06-29,social,12095,2020-07-05,9601,39838.5,111885.5,0.35606490564014104
134,2020-07-01,2020-06-29,supermarket,2327,2020-07-05,2148,7965.5,17606.0,0.45243098943541976
135,2020-07-08,2020-07-06,education,2682,2020-07-12,1563,8268.0,75050.5,0.11016582168006875
136,2020-07-08,2020-07-06,office,1080,2020-07-12,624,3324.0,7583.0,0.4383489384148754
137,2020-07-08,2020-07-06,retail,13149,2020-07-12,10856,43728.5,104534.0,0.4183184418466719
138,2020-07-08,2020-07-06,social,11251,2020-07-12,10746,38873.5,111885.5,0.3474400168028922
139,2020-07-08,2020-07-06,supermarket,2303,2020-07-12,2267,8024.5,17606.0,0.4557821197319096
140,2020-07-15,2020-07-13,education,2810,2020-07-19,1742,8767.0,75050.5,0.11681467811673474
141,2020-07-15,2020-07-13,office,1227,2020-07-19,549,3616.5,7583.0,0.4769220625082421
142,2020-07-15,2020-07-13,retail,13979,2020-07-19,10657,45604.5,104534.0,0.43626475596456654
143,2020-07-15,2020-07-13,social,12009,2020-07-19,10788,40810.5,111885.5,0.3647523584378673
144,2020-07-15,2020-07-13,supermarket,2265,2020-07-19,2294,7956.5,17606.0,0.4519198000681586
145,2020-07-22,2020-07-20,education,2978,2020-07-26,1859,9304.0,75050.5,0.12396986029406866
146,2020-07-22,2020-07-20,office,1289,2020-07-26,631,3853.5,7583.0,0.5081761835685085
147,2020-07-22,2020-07-20,retail,14288,2020-07-26,11434,47154.0,104534.0,0.45108768438976793
148,2020-07-22,2020-07-20,social,12460,2020-07-26,11204,42354.0,111885.5,0.37854771172314555
149,2020-07-22,2020-07-20,supermarket,2349,2020-07-26,2396,8268.5,17606.0,0.4696410314665455
150,2020-07-29,2020-07-27,education,2884,2020-08-02,1909,9119.0,75050.5,0.12150485339871153
151,2020-07-29,2020-07-27,office,1255,2020-08-02,590,3727.5,7583.0,0.49156006857444284
152,2020-07-29,2020-07-27,retail,14426,2020-08-02,11026,47091.0,104534.0,0.45048500966192817
153,2020-07-29,2020-07-27,social,12526,2020-08-02,11723,43038.0,111885.5,0.3846611044326566
154,2020-07-29,2020-07-27,supermarket,2266,2020-08-02,2340,8005.0,17606.0,0.4546745427695104
155,2020-08-05,2020-08-03,education,3888,2020-08-09,2094,11814.0,75050.5,0.15741400790134644
156,2020-08-05,2020-08-03,office,1079,2020-08-09,534,3231.5,7583.0,0.4261506000263748
157,2020-08-05,2020-08-03,retail,14969,2020-08-09,11521,48943.5,104534.0,0.46820651654007306
158,2020-08-05,2020-08-03,social,12740,2020-08-09,11703,43553.0,111885.5,0.3892640243820692
159,2020-08-05,2020-08-03,supermarket,2373,2020-08-09,2413,8345.5,17606.0,0.47401454049755765
160,2020-08-12,2020-08-10,education,4086,2020-08-16,1982,12197.0,75050.5,0.1625172383928155
161,2020-08-12,2020-08-10,office,1099,2020-08-16,581,3328.5,7583.0,0.43894237109323486
162,2020-08-12,2020-08-10,retail,14709,2020-08-16,11437,48209.5,104534.0,0.46118487764746396
163,2020-08-12,2020-08-10,social,12952,2020-08-16,11655,44035.0,111885.5,0.39357199994637376
164,2020-08-12,2020-08-10,supermarket,2330,2020-08-16,2357,8182.0,17606.0,0.4647279336589799
165,2020-08-19,2020-08-17,education,3951,2020-08-23,1936,11813.5,75050.5,0.15740734572054815
166,2020-08-19,2020-08-17,office,1079,2020-08-23,578,3275.5,7583.0,0.43195305288144537
167,2020-08-19,2020-08-17,retail,14721,2020-08-23,11372,48174.5,104534.0,0.46085005835421966
168,2020-08-19,2020-08-17,social,12428,2020-08-23,11599,42669.0,111885.5,0.3813630899446309
169,2020-08-19,2020-08-17,supermarket,2476,2020-08-23,2306,8496.0,17606.0,0.48256276269453596
170,2020-08-26,2020-08-24,education,3928,2020-08-30,1897,11717.0,75050.5,0.1561215448264835
171,2020-08-26,2020-08-24,office,1094,2020-08-30,501,3236.0,7583.0,0.42674403270473427
172,2020-08-26,2020-08-24,retail,14399,2020-08-30,11096,47093.5,104534.0,0.45050892532573134
173,2020-08-26,2020-08-24,social,12098,2020-08-30,11229,41474.0,111885.5,0.3706825281202658
174,2020-08-26,2020-08-24,supermarket,2239,2020-08-30,2233,7830.5,17606.0,0.4447631489265023
175,2020-09-02,2020-08-31,education,3963,2020-09-06,2001,11908.5,75050.5,0.15867316007221804
176,2020-09-02,2020-08-31,office,1007,2020-09-06,481,2998.5,7583.0,0.39542397468020574
177,2020-09-02,2020-08-31,retail,15320,2020-09-06,11633,49933.0,104534.0,0.4776723362733656
178,2020-09-02,2020-08-31,social,13241,2020-09-06,11701,44803.5,111885.5,0.4004406290359341
179,2020-09-02,2020-08-31,supermarket,2425,2020-09-06,2327,8389.5,17606.0,0.47651368851527887
180,2020-09-09,2020-09-07,education,3691,2020-09-13,1944,11171.5,75050.5,0.1488531055755791
181,2020-09-09,2020-09-07,office,1006,2020-09-13,467,2982.0,7583.0,0.3932480548595543
182,2020-09-09,2020-09-07,retail,14512,2020-09-13,11220,47500.0,104534.0,0.45439761226012587
183,2020-09-09,2020-09-07,social,12188,2020-09-13,11260,41730.0,111885.5,0.3729705815320126
184,2020-09-09,2020-09-07,supermarket,2273,2020-09-13,2289,7971.5,17606.0,0.45277178234692717
185,2020-09-16,2020-09-14,education,4016,2020-09-20,2060,12100.0,75050.5,0.16122477531795257
186,2020-09-16,2020-09-14,office,965,2020-09-20,463,2875.5,7583.0,0.37920348147171307
187,2020-09-16,2020-09-14,retail,15147,2020-09-20,11099,48966.5,104534.0,0.4684265406470622
188,2020-09-16,2020-09-14,social,13040,2020-09-20,11046,43646.0,111885.5,0.39009523128555534
189,2020-09-16,2020-09-14,supermarket,2306,2020-09-20,2177,7942.0,17606.0,0.45109621719868226
190,2020-09-23,2020-09-21,education,4227,2020-09-27,2295,12862.5,75050.5,0.1713846010353029
191,2020-09-23,2020-09-21,office,1102,2020-09-27,522,3277.0,7583.0,0.43215086377423184
192,2020-09-23,2020-09-21,retail,15376,2020-09-27,12401,50841.0,104534.0,0.48635850536667496
193,2020-09-23,2020-09-21,social,13060,2020-09-27,12501,45151.0,111885.5,0.4035464827882076
194,2020-09-23,2020-09-21,supermarket,2362,2020-09-27,2402,8307.0,17606.0,0.47182778598205155
195,2020-09-30,2020-09-28,education,3265,2020-10-04,1998,10160.5,75050.5,0.13538217600149233
